,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
Analyse data in the business and produce actionable insight on all data maintained in and for the business including: understanding the raw data and the business process that contributes to it, reviewing the data, extracting the data, scrubbing the data, and thereafter generating and maintaining ad-hoc and recurring reporting from such data.
Develop new analytical views, pro-actively perform â€˜what if scenarioâ€™sâ€™
Requirements:
Degree or above in data science, statistics, or a related field is preferred
Min. 3 years of work experience in the field or in related area
Excellent command of English skills and preferably fluent in Cantonese and Mandarin
Proficient with MS Power BI, SAP Lumira, Excel, Access, and SQL
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing, and presentation of findings
Pro-active to challenge and transform",3.6,3.7,3.7,2.8,3.6,3

204,Hasbro,Global Planning Data Analyst,,,,,,,

205,"The Bank of East Asia, Limited",Business Data Analyst,"To be a team member of Project Management and Services Department
To identify requirements for both existing and ongoing quality of customer data
To perform quality control, error rate monitoring and data error correction for continuous data quality management
To measure and manage data value and risk (including cost of poor quality data)
To generate and review data governance deliverables to ensure data meets requirements and standards
To discuss data quality review with business units and supervisors for on-going data quality improvement
To support business units for any Customer Information data issue

Requirements

University graduate in Business Administration, Finance, Management Information Systems, Computer Science or a related discipline
Minimum 3 yearsâ€™ working experience in banking operations and/ or software project management
Possesses experience in operationalizing customer information management
Sound interpersonal, analytical and presentation skills
Strong communication and report writing skills
Self-motivated, detail-oriented, a good team player and able to work under pressure
Proficient in MS Windows and Office, preferably with advanced knowledge of Excel (e.g. Macro) and PowerPoint
Good command of both written and spoken English and Chinese",2.9,2.4,2.6,2.6,3,2.5

206,Match Talent,Data Engineer / Analyst,"Responsibilities:
Collaborate with business users across the organization to assess their needs and define analytical strategy
Assist the evaluation, selection and implementation of tools for data integration
Involve with campaign production specialist to design and implementing targeting campaign
Analyse structured and unstructured data, visualize findings and discover insights via data modelling, and optimization technique
Collaborate with a broad spectrum of stakeholders, including marketers, technical expertise and product teams, etc.

Requirements:
Degree Holder in Computer Science
Minimum 2 years solid experience in data field
Experience in Python, Scala, SAS, Perl, MATLAB or other tools appropriate for large scale data analysis would be a plus
Experience in Hadoop framework, SQL is desirable
Solid experience in conducting business and system analysis with strong business acumen, and able to communicate actionable insights to management and non-technical audience
Good analytical and communication skills and ability to work in a collaborative environment",4.5,2.9,3.9,3.3,3.9,3.9

207,Ambition,Senior Data Analytics Consultant (Audit) - Insurance - HK,"Contract Type: Permanent
Specialisation: Technology
Salary: HK$60000 - HK$80000 per month
REF: BBBH239725_1579305611
Stephanie Tung
Senior Data Analytics Consultant (Audit) - Insurance - HK
Location: Hong Kong
Contract Type: Permanent
Specialisation: Technology
Salary: HK$60000 - HK$80000 per month
REF: BBBH239725_1579305611
Stephanie Tung
Email Stephanie View Stephanie's other roles

Senior Data Analytics Consultant (Audit) - Insurance - Hong Kong

A top tier global insurance firm is looking for a Senior Data Analytics Consultant to join their Audit teams.

Key responsibilities

Plan and execute Data Analytics program strategy and innovation roadmap for Audit teams
Consult Audit teams on data validation, consolidation and cleansing processes, and perform accordingly
Map out data delivery processes for both structured and unstructured data using various internal and external data sources
Provide technical training and support to Audit teams in the analysis of captured data, and devise other training programs where necessary.
Provide leadership for offshore teams.

Hiring requirements

7+ years' work experience with strong exposure to data analytics/data management and business consulting, preferably within financial services
Prior work exposure to audit would be a strong advantage
Familiar with SQL, R, Python, visualization tools (e.g. Power BI, Tableau), statistical techniques (e.g. regression analysis, cluster analysis, decision trees) and anomaly detection methods
Regional project experience with offshore teams
Excellent communication and interpersonal skills

Please submit your CV to Stephanie Tung: Stephanie.tung@ambition.com.hk",3.8,3.5,3.9,3.8,3.4,3.7

208,RecruitFirst Limited,"Data Analyst - Core Banking Project, 30-45K","RecruitFirstis the fastest growing human resource consultancy in the Asia Pacific. We are focused on providing our clients temporary, contract and permanent employment solutions, ranging from support to management roles. Our specialization lies in theBanking and Finance, Insurance, Fast Moving Consumer Goods (FMCG), Luxury Retail and Infocommunicationssectors.

Premise on our mission to help people find better jobs and organizations find better people,RecruitFirstis dedicated to ensuring that the best candidates and employers are connected via the rigorous recruitment processes and extensive database that we are continuously developing.
Main responsibilities

Perform data analysis with query tools on database repositories
Evaluate data cleansing options, coordinating with IT project teams on implementation
Perform data quality monitoring, and exercising control according to the data governance framework and relevant procedures and guidelines
Provide production support and troubleshooting on data management systems
Analyze user and system requirement and set direction, guidelines and procedures of data governance and data quality standard

Requirements

University degree in Computer Science, Information Systems and/or related disciplines
At least 3 years experience in data related analysis and design, data cleansing and data modelling and/or related application development projects in the banking sector
Must have hands-on experience in SQL,data query tools and VBA
Solid working experience in data query and integration tools (Cognos, DataStage, Power BI, MS Access) and ETL programming
Good communication skills in Cantonese and English

Candidates withmore experiencewill be considered as Assistant Manager.
Interested parties please click ""Apply Now"" to submit your CV. Please note that only shortlisted candidates will be notified.

Full-time,Contract,Permanent",2.6,2,2.6,2.8,1.7,2.5

209,RecruitFirst Limited,"Data Analyst, Core Banking (Up to 45K, Contract/ Perm)","RecruitFirstis the fastest growing human resource consultancy in the Asia Pacific. We are focused on providing our clients temporary, contract and permanent employment solutions, ranging from support to management roles. Our specialization lies in theBanking and Finance, Insurance, Fast Moving Consumer Goods (FMCG), Luxury Retail and Infocommunicationssectors.

Premise on our mission to help people find better jobs and organizations find better people,RecruitFirstis dedicated to ensuring that the best candidates and employers are connected via the rigorous recruitment processes and extensive database that we are continuously developing.

Our client, a sizable local bank is looking for a high caliber candidate to join their elite team.

Job Responsibility:
Perform data analysis with query tools on database repositories

Conduct and coordinate with IT teams and user for data cleasing

Liase with IT projects teams or solution providers to implement data goverance quality rules

Provide production support and troubleshooting on data management systems

Analyze user and system requirement and set direction, guidelines and procedures of data goverance

Requirements:
University degree in Computer Science, Information Systems or related discipline

Minimum 4 years experience in IT industry with at least 2 years in data related analysis and design, data cleasing

Experience in Banking sector is highly preferred

Competent knoledge in SQL, VBA and data query tools

Data management experience in Core Banking system revamp project is a plus

Good communication skills in Cantonese and English, with Putonghua an advantage

For interested parties, please submit your application via [email redacted, apply via company website], or contact Jason Leung 6211 7397/ 3990 0366 for further details

Application

Interested candidates are welcome to send their latest CV/resume, including:

Current and expected salary

Availability

Reason for leaving current/past position

Please contact Jason Leung via [email redacted, apply via company website]
OR Whatsapp: +852 62117397

Full-time",2.6,2,2.6,2.8,1.7,2.5

210,Hays,"Quantitative Data Analyst, Crypto - Fintech","This is one of the largest Global Crypto Trading Platforms with millions of transactions made through their platform each day. Due to expansion, they are now looking for a Quantitative Data Analyst to join their company.

Your new role
You will be responsible for management dataset and perform quantitative analysis to support the trade. You will be developing data models to decide on prices. You will be conducting independent research and using predictive model for market insight.

What you'll need to succeed
You will need at least 2 years in software development and machine learning experience. Good knowledge of SQL, Linux and Cloud, such as AWS, Azure and Google cloud. Strong in Python and JAVA programming.

What you need to do now
If you're interested in this role, click ""apply now"" or for more information and a confidential discussion this role or to find out more about Machine Learning and Quantitative Analyst opportunities, please contact Gillian Lam on +852 2230 7433 or email your CV to gillian.lam@hays.com.hk #1174581",3.8,3.4,3.7,3.9,3.2,3.5

211,City University of Hong Kong,IT Officer in the School of Data Science,"City University of Hong Kong is a dynamic, fast-growing university that is pursuing excellence in research and professional education. As a publicly funded institution, the University is committed to nurturing and developing students talent and creating applicable knowledge to support social and economic advancement.

Duties :
Support the Schools new system setup to meet the teaching and research needs;

Setup and manage a medium-sized computer teaching laboratory;

Manage the Schools official web site and web applications;

Perform installation, maintenance and daily operation of the computing systems of the School including Windows Servers and Linux Servers;

Handle IT incidents, network, systems faults, user requests, system administration and troubleshooting job enquiries;

Provide technical support for E-Learning and collaboration platforms (e.g. Zoom and Microsoft Teams);

Coordinate with parties concerned on the operation and maintenance of the computing systems and services;

Support the daily operational maintenance of all existing systems of the School; and

Perform any other duties as assigned.

Requirements :
A good honours degree in Computer Science/Information Technology or related Engineering disciplines, with at least 2 years relevant working experience, preferably in system administration of computing servers;

Experience in implementing and supporting computing solutions of various platforms including Microsoft Windows, Apple MacOS and Linux systems, as well as experience in web administration and development (e.g. HTML/CSS, and Drupal);

Knowledge of systems administration and hyper-converged infrastructure using VMware, Nutanix, or VDI technologies, preferably with knowledge of Cloud Computing;

Sound knowledge of medium-size server setup, configuration and administration, especially Email and VPN servers, and firewall, besides the usual desktops and workstations;

Strong analytical, problem solving and communication skills;

Good command of written and spoken English and Chinese; and

Ability to work under pressure and tight deadlines.

Shortlisted candidates will be invited for a written test.

Salary and Conditions of Service
Remuneration package will be highly competitive, commensurate with qualifications and experience. Initial appointment will be made on a fixed-term contract; fringe benefits include gratuity, leave, medical and dental schemes.

Information and Application

Further information on the post and the University is available at http://www.cityu.edu.hk, or from the Human Resources Office, City University of Hong Kong, Tat Chee Avenue, Kowloon Tong, Hong Kong [Email : [email redacted, apply via company website]/Fax : 2788 1154 or 3442 0311].

To apply, please submit an online application at http://jobs.cityu.edu.hk. The closing date is 1 May 2020. Applications will receive full consideration and only shortlisted applicants will be contacted. The Universitys privacy policy is available on the homepage.

City University of Hong Kong is an equal opportunity employer and we are committed to the principle of diversity. Personal data provided by applicants will be used for recruitment and other employment-related purposes.

Worldwide recognition ranking 52nd, and 4th among top 50 universities under age 50 (QS survey 2020); 1st in the Worlds Most International Universities (THE survey 2020); 1st in Engineering/Technology/Computer Sciences in Hong Kong (ARWU survey 2016); and 2nd Business School in Asia-Pacific region (UT Dallas survey 2017).

Full-time,Contract",4.1,3.6,3.7,3.5,4,3.5

212,Conpak CPA Limited,Data Analyst / Programmer,"Conpak CPA Limited, a well-established firm of Certified Public Accountants with over 240 professionals based in Hong Kong and PRC, including Beijing, Shanghai and Shenzhen. We have been accredited by the HKICPA as an Authorized Employer. We provide investors a one-stop professional service, including audit and assurance, accounting, tax and financial advisory, company incorporation, intellectual property protection, corporate finance and IPO in Hong Kong. Our mission is to strive for excellence in our professional services and to take care of the growth and development of our people. To cope with our fast expansion and continuing growth, we are now looking for passionate and high caliber professional to join the Conpak family.

Responsibilities:
Perform data analysis, data mining, to buildup reports, data warehouse and analytic reporting system

Define, document and translate business requirement into system specification

Perform analysis, design, programming and testing following system development life cycle (SDLC) methodology

Safeguard coding, versioning, source, technical, quality and documentation standards

Stand in users point of view and create user friendly program

Adhere to project schedules and meet project deadline

Report the project or task progress and status daily

Requirements:
Higher Diploma or Degree holder in Computer Science or related disciplines

Minimum 2 years hands on experience in Microsoft .NET, C#, MVC, SSRS, programming with MSSQL database

Good knowledge of Statistics, Report Visualization, Data Analysis and System Integration

Experience in Angular, BI, Reporting tools will be an advantage

Good team spirit and work closely with team members

Good problem-solving skill, positive thinking and self-motivative

Good command of written and spoken in English and Chinese

We offer 5-day work, education subsidy, medical allowance, trip allowance, study and examination leaves and career prospects to successful candidates. Interested parties please apply in full resume with your employment history, present and expected salary to [email redacted, apply via company website]

We are an equal opportunity employer and welcome applications from all qualified candidates. All personal information provided will be treated in strict confidence and used solely for recruitment purposes. Information about the applicant or the applicants application will be shared within the Conpak Group.

Applicants not hearing from us within 6 weeks from the date of advertisement may consider the applications unsuccessful. Personal data of unsuccessful applicants will be retained for future consideration and normally be kept no longer than two years from the date of rejecting the applicant.

Full-time",2.8,2.5,2.5,2.1,3.1,2.8

213,Eternity Consulting,Assistant Data Analyst ( Fresh graudate will consider),"Job Description Requirements: Bachelorâ€™s degree in maths, statistics, supply chain, business, operations, or a related field required. 0-2 years in data analyst Requires excellent Microsoft Excel & PowerPoint skills. MS Excel, VBA, Access, MS SQL Server or IBM Cognos Ability to interpret data from multiple sources and evaluate impact. Must be able to meet deadlines and produce results in a timely and accurate manner.

Ability to define problems, collect data, establish facts, and draw conclusions. Should have the tenacity to provide a thorough analysis and recommendations. Autonomous with superior attention to detail on delivery confirmation and inventory status. Excellent analytical skills.

Excellent communication skills, both written and oral in English. Mandarin fluency is a plus. Responsibilities: Responsible for planning systems Handle financial data, preparing analytical report. Create reports and download data for supporting.",,,,,,

214,"Center of Cyber Logistics, The Chinese University of Hong Kong",Data Analyst,"Job Highlight
Data Analyst / Data Engineer / Data Scientist
Job Description

The Cyber Logistics Research Centre is looking for a Research Assistant (carrying the job title of 'Data Analyst') to join its development team on designing and delivering a service system for the Hong Kong International Airport (HKIA).

Job Responsibilities
Participate in website/database/system architectural design
Participate in application design, coding, testing, implementation and maintenance support, including application on mobile platforms
Collaborate with system architect, explore available options to visualize complex data to users
Design Big Data storage infrastructure
Data preparation and analysis
Build and test AI/ML models
Requirements
A Bachelor's degree or above in Computer Science, Statistics or a related discipline
Experience in analytics software packages such as R and SAS
Experience in Python and Tensorflow is preferred
Statistical background is a plus
Real-time application experience preferred
Self-motivation and a firm belief in collaborative team work
Excellent analytical and communication skills
Knowledge of IoT, big data, cloud computing will be an advantage
Fresh graduates with innovative drive are welcome to apply, and we provide an excellent training-on-the-job experience
Benefits
14 - 18 days AL
Medical Care
Dental Care
Maternity Leave
5 working days
39 working hours per week
Bank holidays
Appointment will initially be made on a contract basis for two years commencing as soon as possible, renewable subject to mutual agreement.

Job Types: Full-time, Contract, Permanent",,,,,,

215,RecruitFirst Limited,Data Analyst (IANG / QMAS are welcome) @ Property Company,"RecruitFirstis the fastest growing human resource consultancy in the Asia Pacific. We are focused on providing our clients temporary, contract and permanent employment solutions, ranging from support to management roles. Our specialization lies in theBanking and Finance, Insurance, Fast Moving Consumer Goods (FMCG), Luxury Retail and Infocommunicationssectors.

Premise on our mission to help people find better jobs and organizations find better people,RecruitFirstis dedicated to ensuring that the best candidates and employers are connected via the rigorous recruitment processes and extensive database that we are continuously developing.

Job Highlights

Manage, consolidate and integrate data

Develop, refine and review data management

IANG / QMAS are welcome

Job Description

Responsibilities

Manage, consolidate and integrate data from multiple databases, analyze and identify data insights

Develop, refine and review data management and analytics procedures, systems, workflows and other best practices

Propose and review ideas and scenarios identified from data analysis and process reviews

Provide insights and recommendations based on data analytics to facilitate business needs and decision making

Keep abreast and update record of market information and trends

Maintain and conduct periodic or ad hoc health check of the databases, monitor data integrity and manage risk

Requirements

Degree in Quantitative Science / Data Management / Business Analysis or related discipline

Minimum 6 years of solid experience in data planning, market research or statistical modeling

Knowledge / experience in Quantity Surveying is an advantage

Proficiency in conceptualizing and developing prospecting methodologies in data analysis and process reviews

Strong business acumen, analytical skills and numerical sense

Strong communication and presentation skills

Excellent in MS Office especially Excel PowerPoint

Proficient in written and spoken English and Chinese

Application

Interested candidates are welcome to send their latest CV/resume, including:

Current and expected salary

Availability

Reason for leaving current/past position

Please contact Christine via [email redacted, apply via company website]
OR Whatsapp: +852 54270268

Full-time,Permanent",2.6,2,2.6,2.8,1.7,2.5

216,Macquarie Group,Algo Quantitative Analyst,"Algo Quantitative Analyst


Hong Kong

Apply now

Refer someone

This is an exciting opportunity for an Algorithmic Quantitative Analyst to join our Electronic Trading desk in our Hong Kong office. Our Asia Electronic Trading team has recently been ranked as the number one product and service team for clients by Greenwich. As such you will be part of a supportive and high performing team that sits within our wider Cash Equities group. As a hardworking and passionate individual, youâ€™ll be responsible for exploring and analysing innovative quantitative investment strategies.

You will have experience with quantitative analysis or research, preferably through a PhD, however Masters as a minimum. You will also have, preferably, experience in Asia and exposure to global equity markets. Youâ€™ll have a passion for data science, machine learning and fluency in major programming languages. Youâ€™ll have an understanding of algorithmic trading strategies, transaction cost analysis, as well as an understanding of market structure. Given the nature of our global platform, youâ€™ll be supporting a diverse client group across all regions. Some travel will be required to fully support the client group.

You will need to bring excellent interpersonal skills given the teamâ€™s strong client focus and well-developed team-working skills. We will, in turn, equip you with Macquarieâ€™s strong institutional platform, and the opportunity to work with an experienced and fast-growing algorithmic trading team. Your ability and willingness to develop and nurture strong client relationships will also be key to your success.

Your excellent written and verbal communication skills will help you communicate ideas succinctly, and your strong personal drive and commercial acumen will give you the ability to effectively work as part of a team. You will also possess detailed knowledge of risk management, and technical and operational procedures in a global institutional equity trading environment. Lastly, you should have excellent academic qualifications, ideally in a finance or quantitative discipline.

If youâ€™re ready for a new and exciting challenge, we look forward to hearing from you.

About Commodities and Global Markets

Commodities and Global Markets provides clients with an integrated, end-to-end offering across global markets including equities, fixed income, foreign exchange and commodities.

Our commitment to Diversity and Inclusion

Macquarie understands the importance of diversity and inclusion - our long history of success has come from being different. At Macquarie we value the innovation and creativity that diversity of thought brings. The one thing we all have in common is our focus on high performance. If you're capable, motivated and can deliver, we want you on our team.

We recognise that flexibility comes in a variety of forms. Talk to us about what flexibility you need.",3.7,3.7,3.7,3.5,3.4,3.4

217,Deutsche Bank,"Anti-Financial Crime - Group Strategic Analytics â€“ AFC Modelling Analytics Manager, APAC - Vice President","Details of the Division and Team:
The Management Board has delegated to Anti-Financial Crime (â€œAFCâ€ù) as an independent control function the tasks and measures for the prevention of money laundering, the fight against terrorist financing, the monitoring of financial and commercial sanctions, and the fight against other criminal activities.

AFC's goal is to identify risks resulting from financial crimes that could jeopardize Deutsche Bank's integrity and thus its success. We prevent these risks as effectively as possible, or, if they do occur, we investigate and clear them up appropriately in the interest of all parties involved. The framework of AFC is derived from legal, regulatory and internal requirements including specific country guidelines of the countries in which Deutsche Bank is active.

Within AFC's entire value chain, the AFC Modelling (AFCM) function ensures an integral part of the control environment by using a risk-based approach to manage the models that translate the above goals and expectations into concrete controls and analysis. Geographically, the function is rolled out globally and is part of Group Strategic Analytics (GSA), an end-to-end quantitative analytics and model delivery function for DB Group.

The role in scope is part of a broader team covering all APAC and EMEA countries as well as DBâ€™s home base Germany. Reporting line goes directly into the AFC Modelling regional head for Germany, APAC and EMEA.

What we will offer you:
A healthy, engaged and well-supported workforce are better equipped to do their best work and, more importantly, enjoy their lives inside and outside the workplace. Thatâ€™s why we are committed to providing an environment with your development and well-being at its center.

You can expect:
Competitive Salary and non-contributory pension
20 days annual leave plus generous number of public holidays
Life Assurance and Private Healthcare for you and your family
A range of flexible benefits including retail discounts, gym benefits, well-being incentives
The opportunity to support a wide ranging CSR program plus take volunteering leave days

Your key responsibilities:
Responsible for the entire Model Management Lifecycle regarding all Transaction Monitoring related controls. From the identification of the respective underlying AML risk on a product level and the assessment of risks via existing controls, to the definition of compensating controls to mitigating identified residual risks, to the regular assessment of controls effectiveness and efficiency to the holistic regular review of all models used.
Ensure that models used within the APAC region meet defined standards from the AFCM Transaction Monitoring Operating Model and adequately cover the underlying risks; Pursue a scientific approach to bring together a variety of AML obligations and demands and manage them to cover AML risks. Your analysis results support the global AFCM function in their respective areas of responsibility. In addition, your results are the basis for further investigations; Lead and develop a team of analysts and ensures the regional obligations in APAC are fulfilled and expectations around model management and compliance against regulatory obligations are met.
Immediate action is on the global standardization of systems, processes, models and analysis: the obligation is to follow global standards and to comply with regional specifics and be the SME in technology driven AFCM projects.
Lead and motivate team members, enable â€œfeedbackâ€ù culture; Close stakeholder alignment with senior management on regional level, other AFC representatives and internal auditors.
Engaged to use new technologies and approaches in the area of Financial Crime Analytics; Analyze data via several tools, technics and approaches; Improve transaction monitoring models, analytical processes, and resulting documentation.
Support different AFCM departments regarding data analysis and MI; Preparation and presentation of analysis results; Coordination of the APAC countries and their respective demands on AML Modelling topics.

Your skills and experience:
Academic degree in mathematics, economics, computer science, data science, information management, statistics, social sciences or a comparable qualification with a quantitative background is desirable
Performed same/similar function in a lead capacity for 5 years with a provable record of having dealt successfully with regulators, monitors, inspectors and authoritative bodies
Good ability to quickly understand and manage complex requirements
Experience in analytics and data mining and statistical analysis as well as experience in model validation process and project lifecycle is desirable
Excellent knowledge of the current Microsoft Office programs (Excel, Word, PowerPoint), Quant Methodologies, coding with Python and PySpark, big data handling via Hadoop and Oracle Mantas

How weâ€™ll support you:
Flexible working to assist you balance your personal priorities
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs
Training and development to help you excel in your career

About us and our teams:
Deutsche Bank is the leading German bank with strong European roots and a global network. Click here to see what we do.

Deutsche Bank & Diversity

Our values define the working environment we strive to create â€“ diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.
We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.",3.5,3.4,3.4,3.3,3.7,2.9

218,WIT Talent Solutions Limited,Quantitative Research Associate,"WIT Talent Solutions is a professional recruitment services provider headquartered in Hong Kong. Being a specialist in the banking and finance industry, we consistently place top-notch talents to prestigious firms. Our coverage ranges from front office to back office, including both permanent and contract hiring. As an effective business partner, we provide excellent communication to clients and candidates in fulfilling their needs.

Company A global investment bank
Location: Hong Kong

Responsibilities
Responsible for daily flow work support
To handle equity research requests from top tier money managers
To undertake comprehensive quantitative analysis and detailed research
To build detailed financial models and valuations, including back testing
To update internal research database in a timely manner

Job Requirements
Bachelor degree in a quantitative discipline such as quantitative finance, math, physics, computer science, quantitative economics
2 to 4 years of experience in quantitative research in an investment bank or investment management firm or major data vendor
Self- motivated, high energy, detail- oriented, logical thinking
Proficient in Excel
Strong skills and passionate in problem solving
Some coding experience in either VBA and/or Python, R
Experienced in using Bloomberg or Factset terminals
Fluency in English and Cantonese

Interested candidate please email your CV to resumes@wit-ts.com or call (852) 2910-7015 for more details.",,,,,,

219,Infotech Services,Data Analyst,"Serve a contract assignment under InfoTech's headcount, full-time second to a statutory body;
Perform data mining, interpret data, analyse results, like trends and patterns, in complex data sets using statistical / segmentation techniques;
Work with business users to identify the needs / requirements of data analytics;
Participate in data analytics projects for data modelling, solution design and development, data presentation and visualization;
Perform data integration, ETL and data mapping activities;
Compile system documentation such as manuals and specifications.
Yrs of Total Post-Quali Exp 3.0 Requirements - Bachelor degree or equivalent in Computer Science, Information Management, Mathematics, Statistics, or related disciplines;
At least 3 years of solid experience in the capacity of Data Analyst;
Good command of Python, R and SQL;
Proven experience with Tableau in building Tableau Prep workflows and dynamic dashboards;
Good experience in Data Warehouse and Relational Databases;
Experience with ETL tools - Informatica Powercenter / SSIS;
Experience in Cloud platform, such as AWS, Azure;
Excellent interpersonal and communication skills.",,,,,,

220,Great Union Human Capital,"Data Analyst (SAS, Commercial Bank)","Our client is a commercial bank, currently they are looking a data analyst to join their credit reporting team.

Job duties:
Preform analysis on credit risk data
Prepare Credit Risk MIS report
Develop and using different tools to manager credit risk of the bankâ€™s own corporate portfolio,
Assist on credit monitoring and reporting functions

Requirement:
Knowledge in Data Analytics and hands on in SAS
Experts in Excels and other statistical tools
Prefer with some banking experience but fresh grad is also welcome
Fluent in Chinese and English
Interested party please send your CV to info@guhc.net",,,,,,

221,Taron Solutions Limited,Senior Research Scientist / Research Scientist,"Taron Solutions Limited

Taron Solutions Limited is a contract development and manufacturing company (CDMO) for biopharmaceuticals which provide innovative processes and proprietary know-how for fast and reliable process development and scale-up production that will meet GMP requirements and one-stop solution from early cell development, protein modification, optimization, formulation, to GMP manufacturing.

Summary
Taron Solutions Limited is entering an exciting period to build our global brand servicing pharma and biopharma industries. We are looking for a Research Scientist at our Hong Kong Headquarters to help progress research projects, formulate products and perform analytical testing. The individual conducts duties and responsibilities listed below, plus any other tasks as requested by the supervisor.

Duties and Responsibilities
Carries out a broad range of research activities to determine best practices, research protocols and experimental plans.
Perform cell culture, cell harvest and isolation according to study protocol related to the handling of gene modification and cell line development under both Mammalian cell and microbial system.
Collaborate with QC team for related cell line testing such as purity, identity and potency test.
Writes and implements standard operating procedures (SOPs) and create related forms, logbooks, study protocols, specifications and reports as necessary.
Conduct strain screening, cloning, DNA analysis and expression for stable cell line.
Setup and maintain in-house Master Cell Bank (MCB) system and facilities.
Identifies and interprets data independently. Performs data management and tasks to record results effectively in lab notebook or computer system with minimal supervision.
Follow company procurement policy and procure related laboratory equipment and consumables. Keep sufficient stock for research activities and maintain proper inventory control.
Investigates and resolves problems in a timely manner.
Continues to be up to date with scientific paper, governmental regulations and guidelines.
Performs other duties as requested by supervisor.
Requirements
Master of Philosophy or above in Biotechnology, Molecular and cellular engineering, cell and molecular science, life science or related major.
At least three years of cell culture experience, preferably in both mammalian cell and microbial expression system.
Familiar with flow cytometer, LC (AKTA), microplate reader, mass spectrophotometer, PCR and other DNA/Protein detection kits and equipment.
Hands on experience in molecular biology skills such as tissue culture, PCR, generation and purification of DNA is necessary. Additional knowledge and experiences in gene modification and transfection will be a plus.
Good organizational skills with great attention to detail. Multitasking abilities, flexibility and adaptability to a changing and challenging environment are essential.
Have excellent data analysis, interpretation, and problem-solving skills. Knowledge in statistics such as hypothesis testing and DoE will be a plus.
Familiar with MS Word, Excel and other common computer skills.
Proficient in both verbal and written English and Chinese.

Salary will be based on educational level, discipline, and years of experience. Other benefits based on short-term and long-term incentive performance base (cash and stock options).
Candidates interested in applying for this position can send a cover letter as well as an updated CV with contact information to the following email address: info@taronsolutions.com",,,,,,

222,HyperAir Incorporation Limited,Postdoctoral AI & Machine Learning Scientist,"HyperAir aims to give travellers the smartest way to prepare and enjoy a trip. We are funded to build a travel marketplace that understands travellers' preferences and recommend them the most suitable and value-for-money solution so that they can have trip planning & booking done in one go, saving time and effort!

Weâ€™re looking for PhDs who are passionate about Artificial Intelligence and Machine Learning to revolutionize the next generation of travel experience!

Tasks
Lead the R&D projects in our Innovation Lab
Create an AI-based search engine to recommend travel ideas and products to travellers
Build deep learning models to continuously understand individual needs and preferences
Build a cross-selling engine to anticipate and recommend products that an individual may like
Develop data models to find patterns and correlations from big data
Collaborate with the founding team to continuously deliver valuable services to travellers
Contribute to discussions, planning and brainstorming features for product innovation
Work in an agile & collaborative environment through rapid iterations to generate requirements, design, build and test innovative applications
Requirements
Strong mathematical & analytical mindset
Strong coding in Python and/or R and either C#, C++ or Java
Great passion in artificial intelligence, machine learning, data mining, and programming
Passionate to conduct research and build intelligent features on web & mobile apps
Knowledge & Experience in Big Data, AI & Deep Learning, Recommendation Systems, Search Engine Methodologies, NLP, Data Analytics Pipelines are an advantage
Experience with cloud-based technologies
Education:
PhD in Computer Science, Engineering, Physics, Mathematics or equivalence
Fresh graduate will also be considered.
Benefits
Attractive salary package
Energetic team with relaxed dress code
Flexible working culture (results are what matter)
Full-time job & permanent role with good career progression
5-day work, generous holiday allowance, banking holiday and birthday leave
We create new and exciting opportunities for advancement every day. If youâ€™re ready to tap into your potential and build something big & impactful, this is the team for you.

If you are interested, please apply here, including the following information: available date, current and expect salary.

\*Personal data collected will be used for recruitment purposes only.",,,,,,

223,Swing Consulting,Senior Data Analyst (Data Mining/ETL),"Develop and implement end to end data pipeline from collection, analysis to visualization
Manage data warehouse and apply data analysis for data modelling, solution design and development
Provide support for data issues, maintain best practices for data management and provide support where necessary for the data projects
Collaborate with business product, design, operations, marketing and growth team to strengthen data governance and ensure consistent application
Responsible for data governance and ETL
Work on ad-hoc projects when required
Degree or above in Statistics, Data Science, Computer Science, IT and Mathematics or related disciplines
At least 5 years of solid experience in the capacity of Data Analyst;
Good understanding of data modelling and data management process
Good command in Python, R and SQL
Strong in ETL, data technologies and tools, such as Qlik View, Sense or Tableau, Hadoop, Spark, Kafka, Informatica Centre, SSIS
Detail oriented with strong analytic skill
Good command in both written and spoken Chinese and English

